id,img_path
TRAIN_27816,./train/TRAIN_27816.png
TRAIN_72717,./train/TRAIN_72717.png
TRAIN_26746,./train/TRAIN_26746.png
TRAIN_22599,./train/TRAIN_22599.png
TRAIN_40092,./train/TRAIN_40092.png
TRAIN_46742,./train/TRAIN_46742.png
TRAIN_35437,./train/TRAIN_35437.png
TRAIN_29038,./train/TRAIN_29038.png
TRAIN_23616,./train/TRAIN_23616.png
TRAIN_12154,./train/TRAIN_12154.png
TRAIN_29774,./train/TRAIN_29774.png
TRAIN_57358,./train/TRAIN_57358.png
TRAIN_22803,./train/TRAIN_22803.png
TRAIN_66810,./train/TRAIN_66810.png
TRAIN_30381,./train/TRAIN_30381.png
TRAIN_23529,./train/TRAIN_23529.png
TRAIN_30989,./train/TRAIN_30989.png
TRAIN_28335,./train/TRAIN_28335.png
TRAIN_07320,./train/TRAIN_07320.png
TRAIN_05669,./train/TRAIN_05669.png
TRAIN_39981,./train/TRAIN_39981.png
TRAIN_33466,./train/TRAIN_33466.png
TRAIN_41496,./train/TRAIN_41496.png
TRAIN_14076,./train/TRAIN_14076.png
TRAIN_08953,./train/TRAIN_08953.png
TRAIN_65498,./train/TRAIN_65498.png
TRAIN_63660,./train/TRAIN_63660.png
TRAIN_48498,./train/TRAIN_48498.png
TRAIN_03120,./train/TRAIN_03120.png
TRAIN_64203,./train/TRAIN_64203.png
TRAIN_65719,./train/TRAIN_65719.png
TRAIN_60026,./train/TRAIN_60026.png
TRAIN_51914,./train/TRAIN_51914.png
TRAIN_35245,./train/TRAIN_35245.png
TRAIN_11538,./train/TRAIN_11538.png
TRAIN_66956,./train/TRAIN_66956.png
TRAIN_23678,./train/TRAIN_23678.png
TRAIN_23943,./train/TRAIN_23943.png
TRAIN_35951,./train/TRAIN_35951.png
TRAIN_73009,./train/TRAIN_73009.png
TRAIN_75122,./train/TRAIN_75122.png
TRAIN_11521,./train/TRAIN_11521.png
TRAIN_64537,./train/TRAIN_64537.png
TRAIN_49560,./train/TRAIN_49560.png
TRAIN_06824,./train/TRAIN_06824.png
TRAIN_14494,./train/TRAIN_14494.png
TRAIN_48139,./train/TRAIN_48139.png
TRAIN_17005,./train/TRAIN_17005.png
TRAIN_06573,./train/TRAIN_06573.png
TRAIN_20552,./train/TRAIN_20552.png
TRAIN_09758,./train/TRAIN_09758.png
TRAIN_51844,./train/TRAIN_51844.png
TRAIN_13625,./train/TRAIN_13625.png
TRAIN_55840,./train/TRAIN_55840.png
TRAIN_02791,./train/TRAIN_02791.png
TRAIN_08309,./train/TRAIN_08309.png
TRAIN_32901,./train/TRAIN_32901.png
TRAIN_00004,./train/TRAIN_00004.png
TRAIN_07858,./train/TRAIN_07858.png
TRAIN_14409,./train/TRAIN_14409.png
TRAIN_57972,./train/TRAIN_57972.png
TRAIN_13110,./train/TRAIN_13110.png
TRAIN_40898,./train/TRAIN_40898.png
TRAIN_08902,./train/TRAIN_08902.png
TRAIN_67997,./train/TRAIN_67997.png
TRAIN_50371,./train/TRAIN_50371.png
TRAIN_50167,./train/TRAIN_50167.png
TRAIN_28654,./train/TRAIN_28654.png
TRAIN_64097,./train/TRAIN_64097.png
TRAIN_49069,./train/TRAIN_49069.png
TRAIN_44129,./train/TRAIN_44129.png
TRAIN_40283,./train/TRAIN_40283.png
TRAIN_04385,./train/TRAIN_04385.png
TRAIN_59729,./train/TRAIN_59729.png
TRAIN_53518,./train/TRAIN_53518.png
TRAIN_57325,./train/TRAIN_57325.png
TRAIN_23532,./train/TRAIN_23532.png
TRAIN_25232,./train/TRAIN_25232.png
TRAIN_71479,./train/TRAIN_71479.png
TRAIN_26610,./train/TRAIN_26610.png
TRAIN_62448,./train/TRAIN_62448.png
TRAIN_49038,./train/TRAIN_49038.png
TRAIN_52294,./train/TRAIN_52294.png
TRAIN_69819,./train/TRAIN_69819.png
TRAIN_21268,./train/TRAIN_21268.png
TRAIN_65124,./train/TRAIN_65124.png
TRAIN_53630,./train/TRAIN_53630.png
TRAIN_44835,./train/TRAIN_44835.png
TRAIN_47106,./train/TRAIN_47106.png
TRAIN_10612,./train/TRAIN_10612.png
TRAIN_13662,./train/TRAIN_13662.png
TRAIN_52994,./train/TRAIN_52994.png
TRAIN_52238,./train/TRAIN_52238.png
TRAIN_47471,./train/TRAIN_47471.png
TRAIN_71754,./train/TRAIN_71754.png
TRAIN_71436,./train/TRAIN_71436.png
TRAIN_69009,./train/TRAIN_69009.png
TRAIN_29987,./train/TRAIN_29987.png
TRAIN_13168,./train/TRAIN_13168.png
TRAIN_56062,./train/TRAIN_56062.png
TRAIN_72032,./train/TRAIN_72032.png
TRAIN_73924,./train/TRAIN_73924.png
TRAIN_04034,./train/TRAIN_04034.png
TRAIN_10917,./train/TRAIN_10917.png
TRAIN_72856,./train/TRAIN_72856.png
TRAIN_10947,./train/TRAIN_10947.png
TRAIN_11779,./train/TRAIN_11779.png
TRAIN_38703,./train/TRAIN_38703.png
TRAIN_42825,./train/TRAIN_42825.png
TRAIN_14912,./train/TRAIN_14912.png
TRAIN_26518,./train/TRAIN_26518.png
TRAIN_40296,./train/TRAIN_40296.png
TRAIN_49352,./train/TRAIN_49352.png
